term,beta,se,pval,ci_lo,ci_hi
const,-1.4137685599279985,1.6923368221723902,0.4034957297752838,-4.730748731385884,1.9032116115298863
treat,0.03266248835499054,0.06435914710649479,0.611801625466071,-0.09348143997373924,0.1588064166837203
d_corruption,1.2025091883269758,1.0431501225574225,0.24900597327675533,-0.8420650518855721,3.247083428539524
y_1998,1.2333333333333312,1.1849483381576698,0.2979530616081788,-1.0891654094557017,3.555832076122364
y_1999,0.6562322374435905,1.0414428918497238,0.5286171793597464,-1.3849958305818684,2.6974603054690496
y_2000,1.4145655707769265,1.5298327956266844,0.3551460649868703,-1.583906708651375,4.413037850205228
y_2001,1.2768295417226736,1.7524713484513754,0.466253739634958,-2.158014301242022,4.711673384687369
y_2002,1.7568295417226742,1.614120976466362,0.27641301951212705,-1.4068475721513953,4.920506655596744
y_2003,1.6083289107539207,1.9409974042646911,0.4073254041526716,-2.1960260016048743,5.412683823112715
y_2004,1.8303985580423596,1.5813587104979496,0.24707437498275175,-1.2690645145336217,4.9298616306183405
y_2005,1.5428742392980443,2.421807953392332,0.5240757398282305,-3.2038693493509265,6.289617827947016
y_2006,0.8233945069803426,1.248697235027439,0.5096371168985038,-1.6240520736734378,3.270841087634123
y_2007,0.9972990358864183,1.855309950136154,0.5908962536609359,-2.639108466380444,4.63370653815328
y_2008,1.0829951407977105,2.127379007387826,0.6106997624240589,-3.086667713682428,5.25265799527785
y_2009,1.0819896871864771,1.6739151083815957,0.518031572423373,-2.1988839252414505,4.362863299614405
y_2010,1.44896904042567,1.5088663081277192,0.3369026745738094,-1.5084089235046594,4.406347004355999
y_2011,0.9946862598900895,1.820787428286666,0.5848634777424855,-2.574057099551776,4.563429619331955
y_2012,1.3109025961757546,2.049646015397972,0.522448861871682,-2.7064035940042706,5.32820878635578
y_2013,1.8515643766287277,2.052292077615887,0.366954137804557,-2.170928095498411,5.874056848755867
y_2014,0.11435781033808602,0.8345393696274155,0.8910062482281678,-1.5213393541316482,1.7500549748078202
y_2015,1.2365529207762391,1.9140407234936831,0.5182514033196586,-2.51496689727138,4.988072738823858
y_2016,0.7783296045380358,1.5698807474707785,0.6200432871675441,-2.29863666050469,3.855295869580762
y_2017,0.7463952290892975,1.2771793300475363,0.5589451024899958,-1.7568762578038735,3.2496667159824684
y_2018,1.739325358633918,1.9863358611422806,0.38122297344364864,-2.153892929204952,5.632543646472787
y_2019,1.0207272889033328,1.2664503981990685,0.4202572964323582,-1.4615154915668414,3.502970069373507
y_2020,1.0189709382272893,1.5237002268504556,0.5036564691790922,-1.9674815063996036,4.0054233828541825
y_2021,1.776673430766947,1.9899759924489626,0.3719581321895782,-2.12367951443302,5.677026375966913
y_2022,1.4101119351299254,1.9753472920964177,0.4753167225301289,-2.4615687573790535,5.281792627638904
